seed,flowmatching_repenkit_pen,flowmatching_repenkit_kitchen
0,1.7968186868639233,0.25
1,-0.019917531415991094,0.5
2,-0.021051795151900473,0.25
3,-0.046013376245091046,0.25
4,0.5234521436679774,0.5
5,-0.04124363470002876,0.25
6,1.7567561509902825,0.5
7,0.7755432236388623,0.25
8,-0.016606511529014878,0.5
9,0.14644039638548703,0.25
10,-0.01705579852096278,0.25
11,-0.049903544173697176,0.25
12,0.30540690983882546,0.25
13,-0.01671979641107698,0.25
14,0.026295005363133787,0.5
15,-0.015302976242483739,0.5
16,-0.01863948402425566,0.25
17,1.2932258905757354,0.25
18,-0.012960277730011223,0.25
19,-0.028775733671458296,0.25
20,-0.01241302786471334,0.25
21,0.5872387897003118,0.25
22,-0.019526712296389852,0.25
23,-0.03514780362226163,0.25
24,0.00696109539804158,0.25
25,-0.052710219441837694,0.25
26,-0.02594413432477827,0.5
27,-0.014638841358396092,0.25
28,-0.0026642766217385037,0.25
29,-0.04133422580906943,0.25
30,1.3456694605482773,0.25
31,-0.010014068643473364,0.25
32,-0.029229217501426402,0.25
33,-0.025035932213685625,0.5
34,-0.018760189451893203,0.25
35,-0.019850743610914837,0.5
36,-0.020994863917395096,0.25
37,-0.014734067253347928,0.5
38,-0.05340332530698355,0.25
39,-0.01573900904450791,0.25
40,-0.014559371509525347,0.25
41,0.4309995634119932,0.25
42,1.0463817048237931,0.25
43,-0.027356392166196127,0.25
44,-0.05189547090658953,0.25
45,0.014961674698156811,0.5
46,-0.008742841987550416,0.25
47,-0.036486870416779504,0.25
48,-0.016685725312680685,0.25
49,0.0019760675869861135,0.25
Average,0.18372137946187364,0.305
StdError,0.06625603029597815,0.014794510840862841
Formatted,18.4±6.6,30.5±1.5
