seed,pen-cloned_ST1_mean,pen-cloned_ST1_std_error,pen-cloned_ST1_count_999,pen-cloned_ST2_mean,pen-cloned_ST2_std_error,pen-cloned_ST2_count_999,pen-cloned_ST4_mean,pen-cloned_ST4_std_error,pen-cloned_ST4_count_999,pen-cloned_ST8_mean,pen-cloned_ST8_std_error,pen-cloned_ST8_count_999,pen-cloned_ST16_mean,pen-cloned_ST16_std_error,pen-cloned_ST16_count_999,kitchen-partial_ST1_mean,kitchen-partial_ST1_std_error,kitchen-partial_ST1_count_999,kitchen-partial_ST2_mean,kitchen-partial_ST2_std_error,kitchen-partial_ST2_count_999,kitchen-partial_ST4_mean,kitchen-partial_ST4_std_error,kitchen-partial_ST4_count_999,kitchen-partial_ST8_mean,kitchen-partial_ST8_std_error,kitchen-partial_ST8_count_999,kitchen-partial_ST16_mean,kitchen-partial_ST16_std_error,kitchen-partial_ST16_count_999
0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
2,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
3,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
4,999,0,1,999,0,1,999,0,1,999,0,1,400,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
5,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
6,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
7,222,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
8,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
9,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
10,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
11,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
12,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
13,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
14,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
15,91,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
16,999,0,1,999,0,1,999,0,1,999,0,1,733,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
17,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
18,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
19,104,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
20,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
21,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
22,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
23,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
24,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
25,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
26,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
27,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
28,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
29,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
